Agent_name,Agent_ID,Subbasin,Hotspot_ID,Hotspot_name,Downstream_sub,SB_area
Delta,12,236,23,Boeung Prek Lapouv/ Tra Su/ Tinh Doi,1,93680.49
Delta,12,226,22,Bassac march,0,33234.45
Delta,12,230,22,Bassac march,0,3633.17
Delta,12,233,22,Bassac march,1,96710.49
Delta,12,225,21,Boeung Veal Samnap,1,113100.42
Cambodia-Tonle Sap,11,222,20,Basset Marsh,1,72367.04
Cambodia-Tonle Sap,11,198,19,Stung/Prasat Balnag,1,404470.06
Cambodia-Tonle Sap,11,204,19,Stung/Prasat Balnag,0,242659.75
Cambodia-Tonle Sap,11,173,18,Ang Tropeang Thmor Sarus Crane Reserve,0,365150.85
Cambodia-Tonle Sap,11,189,18,Ang Tropeang Thmor Sarus Crane Reserve,1,475089.5
Cambodia-Tonle Sap,11,183,17,Tonle Sap,0,741804.37
Cambodia-Tonle Sap,11,188,17,Tonle Sap,0,2095.17
Cambodia-Tonle Sap,11,190,17,Tonle Sap,0,539418.11
Cambodia-Tonle Sap,11,192,17,Tonle Sap,0,345249.81
Cambodia-Tonle Sap,11,196,17,Tonle Sap,0,393955.28
Cambodia-Tonle Sap,11,197,17,Tonle Sap,0,278537.7
Cambodia-Tonle Sap,11,200,17,Tonle Sap,0,26725.17
Cambodia-Tonle Sap,11,202,17,Tonle Sap,0,168384.15
Cambodia-Tonle Sap,11,203,17,Tonle Sap,0,582020.25
Cambodia-Tonle Sap,11,207,17,Tonle Sap,0,626162.16
Cambodia-Tonle Sap,11,208,17,Tonle Sap,0,335645.09
Cambodia-Tonle Sap,11,211,17,Tonle Sap,0,122748.47
Cambodia-Tonle Sap,11,214,17,Tonle Sap,1,63006.42
Se San/Sre Pok/Se Kong,9,276,16,Sesan River,1,1152329.12
Se San/Sre Pok/Se Kong,9,165,15,Sekong River,1,554075.48
Cambodia-Kratie,10,193,14,Mekong Channel from Lao Border to Kratie,0,465820.85
Cambodia-Kratie,10,195,14,Mekong Channel from Lao Border to Kratie,0,467820.51
Cambodia-Kratie,10,201,14,Mekong Channel from Lao Border to Kratie,1,247881.32
Southern Laos,8,260,13,Khone Falls - Siphandone,1,21685.79
Southern Laos,8,135,12,Mekong Channel from Savannakhet to Khone Falls,0,6574.72
Southern Laos,8,153,12,Mekong Channel from Savannakhet to Khone Falls,0,2575.41
Southern Laos,8,169,12,Mekong Channel from Savannakhet to Khone Falls,0,324894.17
Southern Laos,8,170,12,Mekong Channel from Savannakhet to Khone Falls,1,4377.84
Southern Laos,8,239,12,Mekong Channel from Savannakhet to Khone Falls,0,430569.95
Southern Laos,8,261,12,Mekong Channel from Savannakhet to Khone Falls,0,82257.42
Southern Laos,8,287,12,Mekong Channel from Savannakhet to Khone Falls,0,94222.64
Se San/Sre Pok/Se Kong,9,164,11,Xe Kong Plains,0,344547.58
Se San/Sre Pok/Se Kong,9,285,11,Xe Kong Plains,1,90179.1
Se San/Sre Pok/Se Kong,9,143,10,Xe Kampho/ Xe Piane,1,6240.41
Se San/Sre Pok/Se Kong,9,145,10,Xe Kampho/ Xe Piane,0,99380.53
Se San/Sre Pok/Se Kong,9,152,10,Xe Kampho/ Xe Piane,0,9946.1
Se San/Sre Pok/Se Kong,9,154,10,Xe Kampho/ Xe Piane,0,30151.38
Se San/Sre Pok/Se Kong,9,156,10,Xe Kampho/ Xe Piane,0,50764.38
Se San/Sre Pok/Se Kong,9,157,10,Xe Kampho/ Xe Piane,0,18899.89
Se San/Sre Pok/Se Kong,9,274,10,Xe Kampho/ Xe Piane,0,463236.6
Se San/Sre Pok/Se Kong,9,278,10,Xe Kampho/ Xe Piane,0,22313.72
Se San/Sre Pok/Se Kong,9,279,10,Xe Kampho/ Xe Piane,0,7624.52
Central Laos,6,88,9,Songkhram River,0,867127.37
Central Laos,6,95,9,Songkhram River,1,79597.11
Central Laos,6,78,8,Kut Ting Marshland,1,6384.57
Central Laos,6,81,7,Bung Khong Long Non-Hunting Area,1,121034.48
Central Laos,6,77,6,Mekong Channel from Vientiane to the Mun River,0,342470.1
Central Laos,6,83,6,Mekong Channel from Vientiane to the Mun River,0,202673.7
Central Laos,6,98,6,Mekong Channel from Vientiane to the Mun River,0,79564.39
Central Laos,6,99,6,Mekong Channel from Vientiane to the Mun River,0,89002.83
Central Laos,6,101,6,Mekong Channel from Vientiane to the Mun River,0,95541.29
Central Laos,6,105,6,Mekong Channel from Vientiane to the Mun River,0,6023.73
Central Laos,6,106,6,Mekong Channel from Vientiane to the Mun River,0,281286.45
Central Laos,6,122,6,Mekong Channel from Vientiane to the Mun River,0,450697.4
Central Laos,6,244,6,Mekong Channel from Vientiane to the Mun River,0,131984.39
Central Laos,6,245,6,Mekong Channel from Vientiane to the Mun River,0,495978.43
Central Laos,6,259,6,Mekong Channel from Vientiane to the Mun River,1,43152.25
Northern Laos,4,68,5,Mekong Channel from Luang Prabang to Vientiane,0,234438.25
Northern Laos,4,72,5,Mekong Channel from Luang Prabang to Vientiane,0,692341.85
Northern Laos,4,264,5,Mekong Channel from Luang Prabang to Vientiane,1,198564.72
Northern Laos,4,267,5,Mekong Channel from Luang Prabang to Vientiane,0,26756.13
Northern Laos,4,62,4,Mekong Channel upstream of Luang Prabang,0,450120.77
Northern Laos,4,63,4,Mekong Channel upstream of Luang Prabang,0,7004.55
Northern Laos,4,66,4,Mekong Channel upstream of Luang Prabang,1,13719
Northern Laos,4,67,4,Mekong Channel upstream of Luang Prabang,0,226841.15
Northern Laos,4,262,4,Mekong Channel upstream of Luang Prabang,0,6404.91
Northern Laos,4,263,4,Mekong Channel upstream of Luang Prabang,0,19683.48
Northern Thailand-Chiang Rai,3,50,3,Mekong Channel from Chiang Saen to Chiang Khong,0,276242.65
Northern Thailand-Chiang Rai,3,58,3,Mekong Channel from Chiang Saen to Chiang Khong,1,80009.25
Upper Mekong in China,1,30,2,Golden Quadrangle,0,768048.42
Upper Mekong in China,1,33,2,Golden Quadrangle,0,208076.57
Upper Mekong in China,1,35,2,Golden Quadrangle,0,241132.37
Upper Mekong in China,1,36,2,Golden Quadrangle,0,42595.95
Upper Mekong in China,1,37,2,Golden Quadrangle,0,456600.86
Upper Mekong in China,1,38,2,Golden Quadrangle,1,130166.92
Upper Mekong in China,1,254,2,Golden Quadrangle,0,9333.2
Upper Mekong in China,1,281,2,Golden Quadrangle,0,51531.17
Northern Thailand-Chiang Rai,3,56,1,Nong Bong Kai,1,145433.65
Northern Thailand-Chiang Rai,3,61,1,Nong Bong Kai,0,641403.23
Northern Thailand-Chiang Rai,3,65,1,Nong Bong Kai,0,303523.23
Northern Thailand-Chiang Rai,3,240,1,Nong Bong Kai,0,123792.08
Upper Mekong in China,1,1,0,N/A,0,264402.14
Upper Mekong in China,1,2,0,N/A,0,200617.44
Upper Mekong in China,1,3,0,N/A,0,1475289.08
Upper Mekong in China,1,4,0,N/A,0,678224.86
Upper Mekong in China,1,5,0,N/A,0,1713661.2
Upper Mekong in China,1,6,0,N/A,0,603664.47
Upper Mekong in China,1,7,0,N/A,0,14774.99
Upper Mekong in China,1,8,0,N/A,0,135919.14
Upper Mekong in China,1,9,0,N/A,0,735264.14
Upper Mekong in China,1,10,0,N/A,0,91243.94
Upper Mekong in China,1,11,0,N/A,0,249459.99
Upper Mekong in China,1,12,0,N/A,0,126276.39
Upper Mekong in China,1,13,0,N/A,0,649665.41
Upper Mekong in China,1,14,0,N/A,0,1318.66
Upper Mekong in China,1,15,0,N/A,0,1105885.09
Upper Mekong in China,1,16,0,N/A,0,439508.7
Upper Mekong in China,1,17,0,N/A,0,271955.02
Upper Mekong in China,1,18,0,N/A,0,268295.32
Upper Mekong in China,1,19,0,N/A,0,493425.13
Upper Mekong in China,1,20,0,N/A,0,1080.75
Upper Mekong in China,1,21,0,N/A,0,130.01
Upper Mekong in China,1,22,0,N/A,0,321443.2
Upper Mekong in China,1,23,0,N/A,0,245062.69
Upper Mekong in China,1,24,0,N/A,0,878677.79
Upper Mekong in China,1,25,0,N/A,0,579267.08
Upper Mekong in China,1,26,0,N/A,0,236186.73
Upper Mekong in China,1,27,0,N/A,0,32190.84
Upper Mekong in China,1,28,0,N/A,0,211001.32
Upper Mekong in China,1,29,0,N/A,0,12464.02
Myanmar,2,31,0,N/A,0,598017.5
Northern Laos,4,32,0,N/A,0,1185530.84
Myanmar,2,34,0,N/A,0,777285.23
Myanmar,2,39,0,N/A,0,145470.79
Myanmar,2,40,0,N/A,0,424836.3
Northern Laos,4,41,0,N/A,0,208227.81
Northern Laos,4,42,0,N/A,0,334097.37
Northern Laos,4,43,0,N/A,0,22335.83
Northern Laos,4,44,0,N/A,0,495807.74
Myanmar,2,45,0,N/A,0,68773.67
Myanmar,2,46,0,N/A,0,285623.61
Northern Laos,4,47,0,N/A,0,891036.57
Myanmar,2,48,0,N/A,0,262477.66
Myanmar,2,49,0,N/A,0,56482.99
Northern Laos,4,51,0,N/A,0,274595.88
Myanmar,2,52,0,N/A,0,279568.93
Northern Thailand-Chiang Rai,3,53,0,N/A,0,8933.45
Northern Laos,4,54,0,N/A,0,266713.11
Northern Laos,4,55,0,N/A,0,81503.02
Northern Thailand-Chiang Rai,3,57,0,N/A,0,727581.25
Northern Laos,4,59,0,N/A,0,150901.08
Northern Laos,4,60,0,N/A,0,230309.81
Northern Laos,4,64,0,N/A,0,187572.36
Northern Laos,4,69,0,N/A,0,742701.17
Central Laos,6,70,0,N/A,0,434181
