Note,ID,SUBBASIN,iyres_year starting operation,mores_month starting operation,esa(ha),evol(m3),psa(ha),pvol(m3),vol_initial(m3),STARG1(m3),STARG2(m3),STARG3(m3),STARG4(m3),STARG5(m3),STARG6(m3),STARG7(m3),STARG8,STARG9(m3),STARG10(m3),STARG11(m3),STARG12(m3),ndtargr(day),OFLOWMX1(m3/s),OFLOWMX2(m3/s),OFLOWMX3(m3/s),OFLOWMX4(m3/s),OFLOWMX5(m3/s),OFLOWMX6(m3/s),OFLOWMX7(m3/s),OFLOWMX8(m3/s),OFLOWMX9(m3/s),OFLOWMX10(m3/s),OFLOWMX11(m3/s),OFLOWMX12(m3/s),OFLOWMN1(m3/s),OFLOWMN2(m3/s),OFLOWMN3(m3/s),OFLOWMN4(m3/s),OFLOWMN5(m3/s),OFLOWMN6(m3/s),OFLOWMN7(m3/s),OFLOWMN8(m3/s),OFLOWMN9(m3/s),OFLOWMN10(m3/s),OFLOWMN11(m3/s),OFLOWMN12(m3/s)
Wunonglong,1,15,2100,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Dachaoshan,2,23,2003,7,4700,933000000,3760,746400000,879695333,879695333,830722667,794474000,763316667,737740000,736294667,831543333,898824000,921056000,919423333,930568000,910826667,25,18200,18200,18200,18200,18200,18200,18200,18200,18200,18200,18200,18200,193.856,193.856,193.856,193.856,193.856,193.856,193.856,193.856,193.856,193.856,193.856,193.856
Nuozadu,3,29,2100,1,30611,22399400000,24488.8,17919520000,20606800000,20606800000,19477733333,18319933333,17207466667,16245466667,15663933333,16323400000,19023266667,20939666667,21677066667,22015266667,21667333333,25,19398,19398,19398,19398,19398,19398,19398,19398,19398,19398,19398,19398,303.272,303.272,303.272,303.272,303.272,303.272,303.272,303.272,303.272,303.272,303.272,303.272
Ganlanba,4,36,2100,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Luangprabang,5,62,2100,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Nam Beng,6,64,2100,1,72.4,3611000,57.92,2888800,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,25,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4
Pak Beng,7,67,2100,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Xayabouri,8,68,2100,1,4900,726000000,3920,580800000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,25,3990,3990,3990,3990,3990,3990,3990,3990,3990,3990,3990,3990,3790,3790,3790,3790,3790,3790,3790,3790,3790,3790,3790,3790
Nam Ngum 3,9,70,2100,1,2750,1407000000,2200,1125600000,1148841270,1148841270,1021460317,849920634.9,668190476.2,515333333.3,518730158.7,866904761.9,1225269841,1339063492,1354349206,1323777778,1250746032,25,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5
Pak Lay (Option 1),10,72,2100,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Nam Ngiep 1,11,73,2100,1,6690,2241000000,5352,1792800000,1885000000,1885000000,1760000000,1625000000,1400000000,1310000000,1500000000,1750000000,2050000000,2150000000,2190000000,2130000000,2060000000,25,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3
Nam Theun 1,12,80,2100,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Nam Theun 2,13,86,2100,1,45000,3680200000,36000,2944160000,2711950560,2711950560,2382894400,1958026816,1474104800,873155008,591666720,1235860032,2443705600,3058574400,3247764800,3231548480,3027763392,25,8262,8262,8262,8262,8262,8262,8262,8262,8262,8262,8262,8262,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2
Ubol Ratana,14,107,1966,1,41000,2250000000,32800,1800000000,1540000000,1540000000,1375000000,1300000000,1200000000,1130000000,1045000000,950000000,825000000,825000000,1160000000,1650000000,1575000000,25,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,923.6,923.6,923.6,923.6,923.6,923.6,923.6,923.6,923.6,923.6,923.6,923.6
Xekong 5,15,119,2100,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Ban Kum,16,122,2100,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Latsua,17,135,2100,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Xe Kaman 1,18,148,2100,1,14980,4804000000,11984,3843200000,4327150000,4327150000,4172875000,3948475000,3541750000,3331375000,3121000000,3611875000,3738100000,4285075000,4551550000,4804000000,4579600000,25,6789,6789,6789,6789,6789,6789,6789,6789,6789,6789,6789,6789,157,157,157,157,157,157,157,157,157,157,157,157
Xepian-Xenamnoy,19,156,2100,1,5300,1092000000,4240,873600000,796819277.1,796819277.1,725975903.6,560674698.8,395373494,253686747,123807228.9,442602409.6,489831325.3,749590361.4,914891566.3,1080192771,914891566.3,25,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7
Houay Ho,20,157,2100,1,3827,674100000,3061.6,539280000,590259090.9,590259090.9,506418181.8,422577272.7,338736363.6,254895454.5,147100000,230940909.1,314781818.2,398622727.3,482463636.4,566304545.5,674100000,25,298,298,298,298,298,298,298,298,298,298,298,298,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
Yali,21,167,2001,7,6450,1037000000,5160,829600000,958100000,958100000,838100000,708100000,558100000,383100000,338100000,308100000,388100000,808100000,1048100000,337100000,1028100000,25,13427,13427,13427,13427,13427,13427,13427,13427,13427,13427,13427,13427,29,29,29,29,29,29,29,29,29,29,29,29
Don Sahong,22,170,2100,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
