"year","Agent_ID","Reservoir","Annual_HP_GWh"
5,1,2,6955.21927180503
5,1,3,15520.0862536005
5,1,25,0
5,1,26,7233.24235543187
5,1,29,4778.96912782015
5,1,34,0
5,4,6,297.476444585715
5,4,8,6835.13441989106
5,6,9,2853.36263867115
5,6,11,1996.21197180544
5,6,13,2935.21570236927
5,6,31,990.500598470403
5,6,33,1828.96864622477
5,7,14,48.7866599974492
5,9,18,1803.54951392619
5,9,19,1309.15113639823
5,9,20,292.609398407115
5,9,21,2172.02114075206
5,9,32,1065.71432707504
6,1,2,5431.52732882797
6,1,3,30121.8161450362
6,1,25,0
6,1,26,12068.7113320429
6,1,29,4755.10514939692
6,1,34,0
6,4,6,298.656
6,4,8,10993.8159286794
6,6,9,2893.36721873057
6,6,11,1533.44336659824
6,6,13,4445.25253671882
6,6,31,1272.36524384295
6,6,33,3198.10759513261
6,7,14,6.51237001075962
6,9,18,2056.96344477323
6,9,19,2132.51650015618
6,9,20,738.356859535297
6,9,21,4270.67106079872
6,9,32,2448.26424601963
7,1,2,4052.9047372372
7,1,3,14160.5860048394
7,1,25,0
7,1,26,6028.63735115086
7,1,29,3818.35484758672
7,1,34,0
7,4,6,297.84
7,4,8,11036.7426096282
7,6,9,2367.66781802342
7,6,11,1048.59702798598
7,6,13,3646.9651719621
7,6,31,969.870910887268
7,6,33,2304.8150831273
7,7,14,21.5425377480146
7,9,18,1172.56988000743
7,9,19,1780.02721441024
7,9,20,430.149875411363
7,9,21,3035.94206247895
7,9,32,2719.52234508908
8,1,2,2447.64126003697
8,1,3,11420.0611402539
8,1,25,0
8,1,26,4647.55871765308
8,1,29,2034.81182438375
8,1,34,0
8,4,6,297.84
8,4,8,11025.6965096757
8,6,9,2820.46839660643
8,6,11,1299.35712642679
8,6,13,3629.4339143789
8,6,31,1048.95971482397
8,6,33,2822.26863381435
8,7,14,26.5860385710318
8,9,18,1151.99531986632
8,9,19,1504.77945921094
8,9,20,338.86953885305
8,9,21,3201.40748164794
