SUBBASIN	HRU	LANDUSE	HRU area as a fraction of sbbain area (0-1)	Planting date (calendar: 0-365/366)	Potential heat unit to achieve maturity	Irrigation threshold (0-1)	Irrigation effcieincy (0-1)
1	1	Irrigated rice	0	1	1200	0.9	0.5
1	2	Rainfed rice	0	160	1200	-99	-99
1	3	Irrigated upland crops	0.001566316	1	1700	0.8	0.5
1	4	Rainfed upland crops	0.008828279	120	1700	-99	-99
1	5	Forestry	0.326182787	-99	-99	-99	-99
1	6	Grassland	0.61800976	-99	-99	-99	-99
1	7	Urban	9.87236E-05	-99	-99	-99	-99
1	8	Wetland	0.045314134	-99	-99	-99	-99
2	1	Irrigated rice	0	1	1200	0.9	0.5
2	2	Rainfed rice	0	160	1200	-99	-99
2	3	Irrigated upland crops	0.003314402	1	1700	0.8	0.5
2	4	Rainfed upland crops	0.012132242	120	1700	-99	-99
2	5	Forestry	0.519166909	-99	-99	-99	-99
2	6	Grassland	0.43914529	-99	-99	-99	-99
2	7	Urban	4.63625E-05	-99	-99	-99	-99
2	8	Wetland	0.026194794	-99	-99	-99	-99
3	1	Irrigated rice	1.80257E-05	1	1200	0.9	0.5
3	2	Rainfed rice	1.21436E-05	160	1200	-99	-99
3	3	Irrigated upland crops	0.004969288	1	1700	0.8	0.5
3	4	Rainfed upland crops	0.027018065	120	1700	-99	-99
3	5	Forestry	0.208304182	-99	-99	-99	-99
3	6	Grassland	0.742114428	-99	-99	-99	-99
3	7	Urban	0.000164148	-99	-99	-99	-99
3	8	Wetland	0.017399719	-99	-99	-99	-99
4	1	Irrigated rice	0.002632583	1	1200	0.9	0.5
4	2	Rainfed rice	0.001104491	160	1200	-99	-99
4	3	Irrigated upland crops	0	1	1700	0.8	0.5
4	4	Rainfed upland crops	0.073946861	120	1700	-99	-99
4	5	Forestry	0.919472336	-99	-99	-99	-99
4	6	Grassland	0.002843729	-99	-99	-99	-99
4	7	Urban	0	-99	-99	-99	-99
4	8	Wetland	0	-99	-99	-99	-99
5	1	Irrigated rice	0.002132055	1	1200	0.9	0.5
5	2	Rainfed rice	0.001225677	160	1200	-99	-99
5	3	Irrigated upland crops	0	1	1700	0.8	0.5
5	4	Rainfed upland crops	0.05533166	120	1700	-99	-99
5	5	Forestry	0.941310608	-99	-99	-99	-99
5	6	Grassland	0	-99	-99	-99	-99
5	7	Urban	0	-99	-99	-99	-99
5	8	Wetland	0	-99	-99	-99	-99
6	1	Irrigated rice	0.015511932	1	1200	0.9	0.5
6	2	Rainfed rice	0.001624735	160	1200	-99	-99
6	3	Irrigated upland crops	0	1	1700	0.8	0.5
6	4	Rainfed upland crops	0.090156432	120	1700	-99	-99
6	5	Forestry	0.879488445	-99	-99	-99	-99
6	6	Grassland	0.013064753	-99	-99	-99	-99
6	7	Urban	0	-99	-99	-99	-99
6	8	Wetland	0.000153703	-99	-99	-99	-99
7	1	Irrigated rice	0.022455471	1	1200	0.9	0.5
7	2	Rainfed rice	0.0062696	160	1200	-99	-99
7	3	Irrigated upland crops	0	1	1700	0.8	0.5
7	4	Rainfed upland crops	0.135621553	120	1700	-99	-99
7	5	Forestry	0.834746863	-99	-99	-99	-99
7	6	Grassland	0.000906512	-99	-99	-99	-99
7	7	Urban	0	-99	-99	-99	-99
7	8	Wetland	0	-99	-99	-99	-99
8	1	Irrigated rice	0.016974436	1	1200	0.9	0.5
8	2	Rainfed rice	0.001783088	160	1200	-99	-99
8	3	Irrigated upland crops	0	1	1700	0.8	0.5
8	4	Rainfed upland crops	0.080670408	120	1700	-99	-99
8	5	Forestry	0.900572068	-99	-99	-99	-99
8	6	Grassland	0	-99	-99	-99	-99
8	7	Urban	0	-99	-99	-99	-99
8	8	Wetland	0	-99	-99	-99	-99
9	1	Irrigated rice	0.035147251	1	1200	0.9	0.5
9	2	Rainfed rice	0.003355115	160	1200	-99	-99
9	3	Irrigated upland crops	0.001036419	1	1700	0.8	0.5
9	4	Rainfed upland crops	0.052062799	120	1700	-99	-99
9	5	Forestry	0.907548196	-99	-99	-99	-99
9	6	Grassland	0.000850219	-99	-99	-99	-99
9	7	Urban	0	-99	-99	-99	-99
9	8	Wetland	0	-99	-99	-99	-99
10	1	Irrigated rice	0.021724353	1	1200	0.9	0.5
10	2	Rainfed rice	0.019994056	160	1200	-99	-99
10	3	Irrigated upland crops	0.002025017	1	1700	0.8	0.5
10	4	Rainfed upland crops	0.071402351	120	1700	-99	-99
10	5	Forestry	0.884653097	-99	-99	-99	-99
10	6	Grassland	0.000201126	-99	-99	-99	-99
10	7	Urban	0	-99	-99	-99	-99
10	8	Wetland	0	-99	-99	-99	-99
11	1	Irrigated rice	0.014720795	1	1200	0.9	0.5
11	2	Rainfed rice	0.022731289	160	1200	-99	-99
11	3	Irrigated upland crops	0.003882501	1	1700	0.8	0.5
11	4	Rainfed upland crops	0.062836746	120	1700	-99	-99
11	5	Forestry	0.895828669	-99	-99	-99	-99
11	6	Grassland	0	-99	-99	-99	-99
11	7	Urban	0	-99	-99	-99	-99
11	8	Wetland	0	-99	-99	-99	-99
12	1	Irrigated rice	0.130715768	1	1200	0.9	0.5
12	2	Rainfed rice	0.035750556	160	1200	-99	-99
12	3	Irrigated upland crops	0.005377256	1	1700	0.8	0.5
