Agent_name,Agent_ID,Subbasin
Upper Mekong in China,1,1
Upper Mekong in China,1,2
Upper Mekong in China,1,3
Upper Mekong in China,1,4
Upper Mekong in China,1,5
Upper Mekong in China,1,6
Upper Mekong in China,1,7
Upper Mekong in China,1,8
Upper Mekong in China,1,9
Myanmar,2,10
Myanmar,2,11
Northern Thailand-Chiang Rai,3,12
Northern Laos,4,13
Northern Laos,4,14
Northern Laos,4,15
Northern Laos,4,16
Northern Laos,4,17
Northern Laos,4,18
Northern Thailand-Nong Khai,5,19
Central Laos,6,20
Central Laos,6,21
Central Laos,6,22
Central Laos,6,23
Central Laos,6,24
Central Laos,6,25
Southern Thailand-Mun/Chi,7,26
Southern Thailand-Mun/Chi,7,27
Southern Thailand-Mun/Chi,7,28
Southern Thailand-Mun/Chi,7,29
Southern Laos,8,30
Southern Laos,8,31
Southern Laos,8,32
Southern Laos,8,33
Southern Laos,8,34
Se San/Sre Pok/Se Kong,9,35
Se San/Sre Pok/Se Kong,9,36
Se San/Sre Pok/Se Kong,9,37
Se San/Sre Pok/Se Kong,9,38
Se San/Sre Pok/Se Kong,9,39
Cambodia-Kratie,10,40
Cambodia-Kratie,10,41
Delta,12,42
Cambodia-Tonle Sap,11,43
Cambodia-Tonle Sap,11,44
Cambodia-Tonle Sap,11,45
Delta,12,46
Delta,12,47
