OBJECTID,GRIDCODE,Subbasin,Area,Slo1,Len1,Sll,Csl,Wid1,Dep1,Lat,Long_,Elev,ElevMin,ElevMax,Bname,Shape_Leng,Shape_Area,HydroID,OutletID
1,1,1,1718072.48747000000,9.69376087189,108440.36762600000,60.95702529720,0.08966328880,448.34734287300,6.42628445842,32.11629160030,95.65374958080,1324.35600000000,0.00000000000,0.00000000000,,1484001.60570000000,17180724874.70000000000,300001,100001
2,2,2,3726808.86376000000,9.38828086853,244313.66163600000,60.95702529720,0.07597741312,713.49672192200,8.75947747550,32.56898319680,96.13755040360,1155.19200000000,0.00000000000,0.00000000000,,2077602.24220000000,37268088637.60000000000,300002,100002
3,3,3,2635155.12671000000,12.54410934450,132.99964380700,24.38281011890,318.32205551900,579.52666335400,7.62545612987,30.31706453370,97.67664783340,1553.87040000000,0.00000000000,0.00000000000,,2325688.28930000000,26351551267.10000000000,300003,100003
4,4,4,281787.03226600000,14.61839389800,119208.88688200000,24.38281011890,0.05343829782,151.54524431500,3.11825590599,27.49978700210,99.08780269880,776.63040000000,0.00000000000,0.00000000000,,464385.31520000000,2817870322.66000000000,300004,100004
5,5,5,314727.85361700000,13.71386337280,87651.42308500000,24.38281011890,0.05146567895,161.93876328300,3.25924812450,26.85258981170,99.25727945440,892.45440000000,0.00000000000,0.00000000000,,379558.35060000000,3147278536.17000000000,300005,100005
6,6,6,2146642.05244000000,10.36953449250,311775.77960300000,60.95702529720,0.04594840567,512.44291151100,7.02501418415,25.76661245190,99.69065578040,784.55520000000,0.00000000000,0.00000000000,,1243063.00050000000,21466420524.40000000000,300006,100006
7,7,7,3106007.43563000000,9.13471794128,371122.19524800000,60.95702529720,0.03219467915,639.60404983700,8.14374841885,23.56210869350,100.26487045700,323.08800000000,0.00000000000,0.00000000000,,1818795.46240000000,31060074356.30000000000,300007,100007
8,8,8,467859.42524000000,7.22500801086,104658.92398700000,60.95702529720,0.02096868491,205.42766988100,3.81935041459,22.35056725890,100.58004199400,314.24880000000,0.00000000000,0.00000000000,,554102.52760000000,4678594252.40000000000,300008,100008
9,9,9,1909998.07866000000,7.37318611145,172316.85597700000,60.95702529720,0.01680392776,477.75965070000,6.70434762168,21.91912625370,101.12876132100,241.70640000000,0.00000000000,0.00000000000,,1489832.35470000000,19099980786.60000000000,300009,100009
10,10,10,1524850.66212000000,7.79555940628,90227.11071840000,60.95702529720,0.02837639352,417.37467885800,6.12680809332,21.80837548180,99.88296423960,461.16240000000,0.00000000000,0.00000000000,,1104819.49950000000,15248506621.20000000000,300010,100010
11,11,11,1378190.33593000000,6.55032920837,183588.35551500000,60.95702529720,0.01544019495,392.80339293200,5.88392370063,20.82148140140,100.31333835000,128.93040000000,0.00000000000,0.00000000000,,1039365.43340000000,13781903359.30000000000,300011,100011
12,12,12,2315640.86504000000,4.63255453110,105204.75679000000,91.43553794570,0.00753273924,536.28102820700,7.24122153576,19.92765312800,99.85813604610,116.12880000000,0.00000000000,0.00000000000,,1755222.26190000000,23156408650.40000000000,300012,100012
13,13,13,1118120.04814000000,7.27899026871,91522.18177370000,60.95702529720,0.00666068037,346.48367013700,5.41176246482,20.44239057350,101.20639638600,385.57200000000,0.00000000000,0.00000000000,,984068.03140000000,11181200481.40000000000,300013,100013
14,14,14,683370.36684500000,7.77345848083,150253.85601800000,60.95702529720,0.00709998418,257.85965411100,4.44432499203,19.94438771170,101.44625905400,473.35440000000,0.00000000000,0.00000000000,,900557.67110000000,6833703668.45000000000,300014,100014
15,15,15,6446.48143420000,8.29734230042,4910.85490898000,60.95702529720,0.10000000000,15.71025925850,0.68813309744,20.04777580290,102.16405765500,106.07040000000,0.00000000000,0.00000000000,,49090.54890000000,64464814.34200000000,300015,100015
16,16,16,4258028.77585000000,8.50052356720,130350.67200800000,60.95702529720,0.02969650973,772.88497663600,9.23903876121,20.73487917750,102.43726689400,283.15920000000,0.00000000000,0.00000000000,,2252710.77980000000,42580287758.50000000000,300016,100016
17,17,17,1012662.72248000000,7.41007232666,126787.43217000000,60.95702529720,0.00673126654,326.48903802100,5.20150812991,18.94738498600,101.58696057800,110.03280000000,0.00000000000,0.00000000000,,878739.64970000000,10126627224.80000000000,300017,100017
18,18,18,199147.54474200000,5.10504102707,86240.77545070000,60.95702529720,0.00494800746,123.05370212000,2.71402181957,18.11283922820,101.37482210000,69.18960000000,0.00000000000,0.00000000000,,338367.42950000000,1991475447.42000000000,300018,100018
19,19,19,2512772.83470000000,2.73616576195,265753.41940700000,91.43553794570,0.00642279600,563.22464153200,7.48177500246,17.70189724140,102.06117200900,154.53360000000,0.00000000000,0.00000000000,,1793968.05870000000,25127728347.00000000000,300019,100019
20,20,20,1680770.78586000000,5.85754346848,167057.93043900000,60.95702529720,0.00419638863,442.48118118200,6.37010731248,18.88590082580,102.64394579000,261.51840000000,0.00000000000,0.00000000000,,1212781.08920000000,16807707858.60000000000,300020,100020
21,21,21,1148738.40222000000,5.56722402573,139571.29585200000,60.95702529720,0.00240221313,352.14570363700,5.47056028406,18.70510502680,103.44964987700,101.49840000000,0.00000000000,0.00000000000,,1175916.15760000000,11487384022.20000000000,300021,100021
22,22,22,5583134.91461000000,3.25747895241,43116.23501030000,91.43553794570,0.04170865104,909.31966619100,10.29661801010,17.58794612320,104.57877878500,41.14800000000,0.00000000000,0.00000000000,,2856468.12020000000,55831349146.10000000000,300022,100022
23,23,23,1994168.48312000000,2.84272789955,113438.83446200000,91.43553794570,0.00295560159,490.28298233100,6.82100066025,16.49485824990,105.99135893200,59.43600000000,0.00000000000,0.00000000000,,1178173.19470000000,19941684831.20000000000,300023,100023
24,24,24,450596.58143000000,1.95860099792,116013.60717500000,121.91405059400,0.00446637263,200.84565729300,3.76234406680,15.81835149410,105.55180354400,62.78880000000,0.00000000000,0.00000000000,,656609.61330000000,4505965814.30000000000,300024,100024
25,25,25,43253.06906540000,2.25355982780,24912.10087590000,91.43553794570,0.00611750895,49.22660302790,1.47349994436,15.41332747090,105.51583516300,55.47360000000,0.00000000000,0.00000000000,,160625.78280000000,432530690.65400000000,300025,100025
26,26,26,4928261.19771000000,1.21048521996,371202.73457300000,121.91405059400,0.00435190760,843.73475858500,9.79536986531,16.37369541440,102.76241737400,46.02480000000,0.00000000000,0.00000000000,,2299920.46600000000,49282611977.10000000000,300026,100026
27,27,27,1699723.74183000000,0.74926692247,116846.73425200000,121.91405059400,0.00547794514,445.46820779500,6.39874331136,15.29418021570,104.95047097100,40.53840000000,0.00000000000,0.00000000000,,1248329.41880000000,16997237418.30000000000,300027,100027
28,28,28,5334013.65237000000,0.68997150660,295202.74107300000,121.91405059400,0.00433654510,884.75328551400,10.11032232540,14.99314588410,103.05858079300,49.98720000000,0.00000000000,0.00000000000,,1915659.95800000000,53340136523.70000000000,300028,100028
29,29,29,3985.16192574000,3.18280601501,1605.41680302000,91.43553794570,0.10000000000,11.77219083670,0.56770372161,15.28224785390,105.54611996500,45.41520000000,0.00000000000,0.00000000000,,44012.21720000000,39851619.25740000000,300029,100029
30,30,30,6544.65113085000,3.90183305740,10718.63482540000,91.43553794570,0.10000000000,15.85337055520,0.69230577234,15.32935278800,105.58232727200,21.64080000000,0.00000000000,0.00000000000,,50219.06800000000,65446511.30850000000,300030,100030
31,31,31,1239968.18697000000,2.18443489075,141232.94593800000,91.43553794570,0.00237395034,368.66850348600,5.64036968142,15.28978539570,106.01893275400,119.78640000000,0.00000000000,0.00000000000,,1071152.03180000000,12399681869.70000000000,300031,100031
32,32,32,423435.39411500000,0.73169875145,50006.16456980000,121.91405059400,0.01523812127,193.49155039000,3.66993367151,14.21300319000,105.60478733900,32.91840000000,0.00000000000,0.00000000000,,550152.71280000000,4234353941.15000000000,300032,100032
33,33,33,251544.55294100000,0.78363716602,51823.06103330000,121.91405059400,0.00470524116,141.56590208900,2.97981511832,13.83434690510,105.78181561100,29.56560000000,0.00000000000,0.00000000000,,444824.32960000000,2515445529.41000000000,300033,100033
34,34,34,3865.76624296000,0.67658770084,5089.50629374000,121.91405059400,0.10000000000,11.55928745660,0.56083820164,13.57823087130,105.96904573000,17.37360000000,0.00000000000,0.00000000000,,41567.09380000000,38657662.42960000000,300034,100034
35,35,35,2874978.59478000000,4.68415784836,244113.12222400000,91.43553794570,0.00561870656,610.61923335800,7.89581926029,14.94246979900,106.79334668800,305.40960000000,0.00000000000,0.00000000000,,1632966.10380000000,28749785947.80000000000,300035,100035
36,36,36,1890941.64585000000,4.17417001724,163751.90599600000,91.43553794570,0.00893449143,474.89389481600,6.67751086021,14.25280492960,107.51376102100,286.20720000000,0.00000000000,0.00000000000,,1386008.66360000000,18909416458.50000000000,300036,100036
37,37,37,3071449.90757000000,2.25558185577,248280.99826100000,91.43553794570,0.01276746921,635.32474726600,8.10738369183,12.93960841790,107.66272809900,51.51120000000,0.00000000000,0.00000000000,,1495851.11960000000,30714499075.70000000000,300037,100037
38,38,38,41997.20349370000,0.71272450686,31913.58650299990,121.91405059400,0.01241602851,48.36396897000,1.45623512211,13.52714346280,106.16001670400,20.72640000000,0.00000000000,0.00000000000,,136362.63840000000,419972034.93700000000,300038,100038
39,39,39,834.00082687900,0.75217270851,6181.26424426000,121.91405059400,0.10000000000,4.60563587174,0.30367563256,13.54088123560,106.00099345300,6.09600000000,0.00000000000,0.00000000000,,24075.05879999990,8340008.26879000000,300039,100039
40,40,40,1661764.76506000000,0.77564191818,172731.21348800000,121.91405059400,0.00617606962,439.47223059600,6.34119590952,12.89400204250,106.25106107100,24.38400000000,0.00000000000,0.00000000000,,1105007.58550000000,16617647650.60000000000,300040,100040
41,41,41,627624.08936700000,1.07346391678,21941.56702780000,121.91405059400,0.10000000000,245.02447811600,4.29559367277,12.14659805330,106.48052882900,23.46960000000,0.00000000000,0.00000000000,,670528.00660000000,6276240893.67000000000,300041,100041
42,42,42,358366.52634600000,0.52447205782,160009.79525700000,121.91405059400,0.10000000000,175.05969704600,3.43300413986,12.06931569100,105.52978324800,3.96240000000,0.00000000000,0.00000000000,,761373.73850000000,3583665263.46000000000,300042,100042
43,43,43,6076231.93016000000,1.04952311516,280779.56734100000,121.91405059400,0.00130265889,956.68797645200,10.65116443150,13.16471836300,103.61974968100,-0.30480000000,0.00000000000,0.00000000000,,1971709.70450000000,60762319301.60000000000,300043,100043
