"year","Agent_ID","SB_ID","Act_yield","M_Act_yield"
1,1,1,0,0
1,1,2,0,0
1,1,3,0,0
1,1,4,0,0
1,1,5,0.01,0
1,1,6,8.57,0.41
1,1,7,10.21,7.84
1,1,8,8.43,7.03
1,1,9,7.99,7.09
1,2,10,7.8,7.21
1,2,11,5.31,5.52
1,3,12,1.53,1.62
1,4,13,8.16,6.24
1,4,14,4.77,2.71
1,4,15,5.38,3.69
1,4,16,4.49,4.86
1,4,17,7.52,5.94
1,4,18,6.55,5.02
1,5,19,4.59,2.62
1,6,20,6.61,5.77
1,6,21,5.4,4.81
1,6,22,1.61,1.4
1,6,23,6.98,5.42
1,6,24,5.06,1.56
1,6,25,1.7,1.6
1,7,26,5.43,3.98
1,7,27,5.67,4.34
1,7,28,5.16,3.94
1,7,29,1.52,1.57
1,8,30,1.72,1.76
1,8,31,5.92,4.97
1,8,32,6.08,4.7
1,8,33,6,4.55
1,8,34,1.72,1.06
1,9,35,1.31,1.35
1,9,36,1.4,1.28
1,9,37,1.32,1.22
1,9,38,0.33,3.01
1,9,39,1.72,0.92
1,10,40,1.4,0.78
1,10,41,5.43,3.37
1,12,42,3.07,1.46
1,11,43,5.3,4.2
1,11,44,5.9,3.64
1,11,45,5.43,3.86
1,12,46,0.22,0.43
1,12,47,0.23,0.51
2,1,1,0,0
2,1,2,0,0
2,1,3,0,0
2,1,4,0,0
2,1,5,0.02,0
2,1,6,8.75,0.66
2,1,7,8.49,7.71
2,1,8,7.77,6.77
2,1,9,7.44,6.81
2,2,10,8.49,7.28
2,2,11,7.59,5.97
2,3,12,6.47,4.49
2,4,13,8.07,6.24
2,4,14,6.98,5.65
2,4,15,6.68,5.33
2,4,16,7.19,5.72
2,4,17,7.1,5.91
2,4,18,6.67,5.04
2,5,19,5.16,3.67
2,6,20,8.91,7.19
2,6,21,7.71,6.45
2,6,22,6.87,5.32
2,6,23,6.68,5.39
2,6,24,6.12,4.45
2,6,25,6.09,4.63
2,7,26,5.55,3.72
2,7,27,6.19,4.1
2,7,28,5.62,3.71
2,7,29,6.2,4.37
2,8,30,6.15,4.63
2,8,31,6.07,4.8
2,8,32,6.5,4.5
2,8,33,6.28,4.32
2,8,34,6.1,4.19
2,9,35,7.04,5.93
2,9,36,7.27,5.78
2,9,37,7.31,5.65
2,9,38,6.25,4.33
2,9,39,6.1,4.19
2,10,40,6.07,4.04
2,10,41,6.22,4.23
2,12,42,5.93,3.97
2,11,43,5.96,4.12
2,11,44,6.19,4.26
2,11,45,6.16,4.18
2,12,46,5.19,3.3
2,12,47,5.3,3.67
3,1,1,0,0
3,1,2,0,0
3,1,3,0,0
3,1,4,0,0
3,1,5,0.01,0
3,1,6,9.06,0.53
3,1,7,10.32,8.33
3,1,8,7.76,6.98
3,1,9,7.51,6.5
3,2,10,8.66,7.51
3,2,11,6.65,5.47
3,3,12,5.51,4.1
3,4,13,6.79,6.07
3,4,14,5.58,4.98
3,4,15,5.2,4.8
3,4,16,6.11,5.54
3,4,17,5.72,5.5
3,4,18,5.52,4.47
3,5,19,4.15,3.1
3,6,20,7.22,6.65
3,6,21,6.56,5.72
3,6,22,5.4,4.65
3,6,23,5.65,4.66
3,6,24,5.11,3.8
3,6,25,5.08,3.93
3,7,26,4.65,3.13
