"year","Agent_ID","Reservoir","Hydro.Power"
"1","1","imaginary","0"
"1","1","Huangdeng","11012.1825053836"
"1","1","Xiaowan","10768.0778741051"
"1","1","Jinghong","9324.32964622173"
"1","4","Luangprabang","7458.36060175186"
"1","4","Pak Lay","6636.73330796594"
"1","5","imaginary","0"
"1","6","Latsua","4318.86410204535"
"1","8","Stung Treng","5066.97246374466"
"1","9","Lower Sesan 2","2867.33332978125"
"2","1","imaginary","0"
"2","1","Huangdeng","16617.6352969243"
"2","1","Xiaowan","31283.1894117208"
"2","1","Jinghong","15330"
"2","4","Luangprabang","12351.6"
"2","4","Pak Lay","11563.2"
"2","5","imaginary","0"
"2","6","Latsua","6009.36"
"2","8","Stung Treng","8584.8"
"2","9","Lower Sesan 2","4204.8"
"3","1","imaginary","0"
"3","1","Huangdeng","16644"
"3","1","Xiaowan","31536"
"3","1","Jinghong","15330"
"3","4","Luangprabang","12351.6"
"3","4","Pak Lay","11563.2"
"3","5","imaginary","0"
"3","6","Latsua","6009.36"
"3","8","Stung Treng","8584.8"
"3","9","Lower Sesan 2","4204.8"
"4","1","imaginary","0"
"4","1","Huangdeng","16644"
"4","1","Xiaowan","31481.6683143618"
"4","1","Jinghong","15330"
"4","4","Luangprabang","12351.6"
"4","4","Pak Lay","11563.2"
"4","5","imaginary","0"
"4","6","Latsua","6009.36"
"4","8","Stung Treng","8584.8"
"4","9","Lower Sesan 2","4204.8"
"5","1","imaginary","0"
"5","1","Huangdeng","16689.6"
"5","1","Xiaowan","31622.4"
"5","1","Jinghong","15372"
"5","4","Luangprabang","12385.44"
"5","4","Pak Lay","11594.88"
"5","5","imaginary","0"
"5","6","Latsua","6025.824"
"5","8","Stung Treng","8608.32"
"5","9","Lower Sesan 2","4216.32"
"6","1","imaginary","0"
"6","1","Huangdeng","16644"
"6","1","Xiaowan","31536"
"6","1","Jinghong","15330"
"6","4","Luangprabang","12351.6"
"6","4","Pak Lay","11563.2"
"6","5","imaginary","0"
"6","6","Latsua","6009.36"
"6","8","Stung Treng","8584.8"
"6","9","Lower Sesan 2","4204.8"
"7","1","imaginary","0"
"7","1","Huangdeng","16644"
"7","1","Xiaowan","31536"
"7","1","Jinghong","15330"
"7","4","Luangprabang","12351.6"
"7","4","Pak Lay","11563.2"
"7","5","imaginary","0"
"7","6","Latsua","6009.36"
"7","8","Stung Treng","8584.8"
"7","9","Lower Sesan 2","4204.8"
"8","1","imaginary","0"
"8","1","Huangdeng","16644"
"8","1","Xiaowan","31536"
"8","1","Jinghong","15330"
"8","4","Luangprabang","12351.6"
"8","4","Pak Lay","11563.2"
"8","5","imaginary","0"
