Reservoir,efficiency,tailwater level,volume (mega liter),level,volume (m^3),head,a,b,Head=a*volume^b +c
Xiaowan,0.74,963.3,1,963.3333333,1000,0.033333333,0.3726,0.2817,c=0 for most but later data needed a c term for proper fits bc the data points were to close together
,,963.3,4660000,1162,4660000000,198.7,,,
,,963.3,5710852.653,1172.571429,5710852653,209.2714286,,,
,,963.3,6873440.884,1183.142857,6873440884,219.8428571,,,
,,963.3,8153409.957,1193.714286,8153409957,230.4142857,,,
,,963.3,9556405.14,1204.285714,9556405140,240.9857143,,,
,,963.3,11088071.7,1214.857143,11088071697,251.5571429,,,
,,963.3,12754054.9,1225.428571,12754054895,262.1285714,,,
,,963.3,14560000,1236,14560000000,272.7,,,
Nuozhadu,0.784,585,1,585,1000,0,0.08855,0.3284,
,,585,10099400,756,10099400000,171,,,
,,585,11479833.53,763.2857143,11479833534,178.2857143,,,
,,585,12977829.76,770.5714286,12977829764,185.5714286,,,
,,585,14598192.94,777.8571429,14598192937,192.8571429,,,
,,585,16345727.3,785.1428571,16345727296,200.1428571,,,
,,585,18225237.09,792.4285714,18225237086,207.4285714,,,
,,585,20241526.55,799.7142857,20241526553,214.7142857,,,
,,585,22399399.94,807,22399399941,222,,,
Manwan,0.85,891,1,891,1000,0,0.03843,0.3825,
,,891,663000,982,663000000,91,,,
,,891,695878.9814,983.7142857,695878981.4,92.71428571,,,
,,891,729996.5875,985.4285714,729996587.5,94.42857143,,,
,,891,765375.7205,987.1428571,765375720.5,96.14285714,,,
,,891,802039.2826,988.8571429,802039282.6,97.85714286,,,
,,891,840010.1758,990.5714286,840010175.8,99.57142857,,,
,,891,879311.3023,992.2857143,879311302.3,101.2857143,,,
,,891,919965.5643,994,919965564.3,103,,,
Luangphrabang,0.94,260,1,260,1000,0,0.001386,0.489,
,,260,83500,270,83500000,10,,,
,,260,185300,275,185300000,15,,,
,,260,328240,280,328240000,20,,,
,,260,513500,285,513500000,25,,,
,,260,736990,290,736990000,30,,,
