RES_ID,RES_ESA,RES_EVOL,RES_PSA,RES_PVOL,RES_VOL,STARG1,SGARG2,STARG3,STARG4,STARG5,STARG6,STARG7,STARG8,STARG9,STARG10,STARG11,STARG12,NDTARGR
1,19000,1504300,16000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,15
2,19000,1504300,16000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,15
3,19000,1504300,16000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,15
4,19000,1504300,16000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,15
5,19000,1504300,16000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,15
6,19000,1504300,16000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,15
7,19000,1504300,16000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,15
8,19000,1504300,16000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,15
9,19000,1504300,16000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,15
10,19000,1504300,16000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,15
