"year","Agent_ID","Reservoir","Annual_HP_GWh"
5,1,2,0
5,1,29,0
5,6,31,849.346006580783
5,7,14,55.9846341291337
5,9,32,0
6,1,2,0.000134339885187041
6,1,29,0.00186589917614919
6,6,31,641.931683146644
6,7,14,0.000120921281208452
6,9,32,0.00214346586291444
7,1,2,0.000998131703180552
7,1,29,0.0101422107123343
7,6,31,744.095568117802
7,7,14,0.000133887650311404
7,9,32,0.0114513463123281
8,1,2,0.00250112300832851
8,1,29,0.0194493047063568
8,6,31,758.110090978792
8,7,14,0.000166100654711568
8,9,32,0.0237103059372132
9,1,2,0.00473770577985487
9,1,29,0.0284309922672172
9,6,31,685.945206727341
9,7,14,0.00020182071270156
9,9,32,0.0386291651613496
10,1,2,0.00678469611135553
10,1,29,0.0387438729938537
10,6,31,741.52478967898
10,7,14,0.000247709531416322
10,9,32,0.0508355264890045
11,1,2,0.00836809843020889
11,1,29,0.0497903189920868
11,6,31,789.07855990823
11,7,14,0.00032593312415935
11,9,32,0.0658609662316428
12,1,2,0.0111525810400119
12,1,29,0.0679849250706952
12,6,31,748.401422531581
12,7,14,0.00040744304672928
12,9,32,0.0847108321542848
13,1,2,0.0142284107747308
13,1,29,0.085959606219017
13,6,31,671.613319075548
13,7,14,0.000549006602561097
13,9,32,0.105915739032581
14,1,2,0.0182513201304756
14,1,29,0.103559198401316
14,6,31,577.185984230196
14,7,14,0.000700241948632088
14,9,32,0.126010014805131
15,1,2,0.0217104748260357
15,1,29,0.117100559904585
15,6,31,630.268836435977
15,7,14,0.000757416196017116
15,9,32,0.146350903419901
16,1,2,0.025672533905078
16,1,29,0.136560117365274
16,6,31,766.280911629031
16,7,14,0.000837437656408172
16,9,32,0.172659050486996
17,1,2,0.028883332960603
17,1,29,0.150417803436226
17,6,31,676.610230091488
17,7,14,0.000947409897252293
17,9,32,0.203064847484813
18,1,2,0.0344777884493986
18,1,29,0.18314447169443
18,6,31,769.402933763876
18,7,14,0.00103932410924791
18,9,32,0.234166814561301
19,1,2,0.039031229549204
19,1,29,0.206260484971233
19,6,31,799.313811195159
19,7,14,0.00112543433059087
19,9,32,0.273261524492395
20,1,2,0.0435246461383551
20,1,29,0.227803547976114
20,6,31,604.315394307609
20,7,14,0.00115151090731387
20,9,32,0.298297446249458
21,1,2,0.0475448477873019
21,1,29,0.257334751792123
21,6,31,792.264946100473
21,7,14,0.00125230583759859
21,9,32,0.320614047445242
22,1,2,0.0556520129905733
22,1,29,0.296290979910826
22,6,31,783.542787570436
22,7,14,0.00140700432507126
22,9,32,0.357883444458267
23,1,2,0.0637729142784372
23,1,29,0.336051168495036
23,6,31,740.77025918288
23,7,14,0.00158190538682854
23,9,32,0.393905335489652
24,1,2,0.0718622180172266
24,1,29,0.365260762548749
24,6,31,776.028580320929
24,7,14,0.00177468322943993
24,9,32,0.429964084509471
25,1,2,0.0756764651777302
25,1,29,0.38701134740864
25,6,31,657.691521211937
25,7,14,0.0020042478152756
25,9,32,0.45735641327033
26,1,2,0.0802164248383876
26,1,29,0.4129368489653
26,6,31,702.946209010894
26,7,14,0.00214970305966586
26,9,32,0.4989935763861
27,1,2,0.0867834040268461
27,1,29,0.440099290254129
27,6,31,685.185534522264
27,7,14,0.00224404645673241
27,9,32,0.534946317796734
28,1,2,0.0925690514706507
28,1,29,0.454483520718284
28,6,31,712.681760336641
28,7,14,0.00234269998837633
28,9,32,0.581866514192676
